category,domain,attributes
Обувь специальная кожаная для защиты от скольжения по зажиренным поверхностям,shoes,Размер обуви; Пол; Сезонность обуви
Обувь форменная для взрослых,shoes,Размер обуви; Пол; Сезонность обуви
Ограждения металлические барьерные,generic,Назначение; Материал; Размер
Одежда для взрослых форменная,clothes,Размер; Пол; Цвет
Одежда для пациента и посетителей,clothes,Размер; Пол; Цвет
Одежда специальная для защиты от воды,clothes,Размер; Пол; Цвет
Одежда специальная для защиты от искр и брызг расплавленного металла,clothes,Размер; Пол; Цвет
Одежда специальная для защиты от насекомых и паукообразных,clothes,Размер; Пол; Цвет
Одежда специальная для защиты от неблагоприятных погодных условий,clothes,Размер; Пол; Цвет
Одежда специальная для защиты от общих производственных загрязнений и механических воздействий,clothes,Размер; Пол; Цвет
Одежда специальная для защиты от повышенных температур,clothes,Размер; Пол; Цвет
Одежда специальная для защиты от пониженных температур,clothes,Размер; Пол; Цвет
Одежда специальная для защиты от растворов кислот,clothes,Размер; Пол; Цвет
Одежда специальная для защиты от термических рисков электрической дуги,clothes,Размер; Пол; Цвет
Одежда специальная повышенной видимости,clothes,Размер; Пол; Цвет
Очки защитные,eye_face_ppe,Тип защиты; Материал; Наличие покрытия от запотевания
Пальто для взрослых из текстильных материалов зимние,clothes,Размер; Пол; Цвет
Патроны и фильтры сменные для средств индивидуальной защиты органов дыхания,respirators,Тип фильтра; Степень фильтрации; Класс защиты
Перчатки из полимерных материалов для защиты от внешних воздействий,gloves,Размер; Материал; Тип защиты
Перчатки резиновые общего назначения (кроме медицинских),gloves,Размер; Материал; Тип защиты
Перчатки смотровые/процедурные и хирургические,gloves,Размер; Материал; Тип защиты
"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",gloves,Размер; Материал; Тип защиты
Перчатки трикотажные для защиты от внешних воздействий,gloves,Размер; Материал; Тип защиты
Перчатки хозяйственные трикотажные,gloves,Размер; Материал; Тип защиты
Перчатки швейные для защиты от внешних воздействий,gloves,Размер; Материал; Тип защиты
Перчаточные изделия бытового назначения,generic,Назначение; Материал; Размер
Пиджаки мужские,clothes,Размер; Пол; Цвет
Пижамы для взрослых,clothes,Размер; Пол; Цвет
"Платки (шали, парео), косынки (банданы)",generic,Назначение; Материал; Размер
Плащи для взрослых,clothes,Размер; Пол; Цвет
Подшлемники,headwear,Размер; Пол; Сезон
Поло спортивные для взрослых,generic,Назначение; Материал; Размер
Полотенца текстильные,textile,Размер; Материал; Плотность ткани
"Приборы бытовые осветительные с питанием от батарей, аккумуляторов",lighting,Тип источника света; Мощность; Световой поток
Приборы осветительные мобильные для спасательных служб и служб гражданской обороны,lighting,Тип источника света; Мощность; Световой поток
Принадлежности для ухода за одеждой и обувью,shoes,Размер обуви; Пол; Сезонность обуви
Принадлежности и расходные материалы для хирургического оборудования,med_sets,Состав набора; Область применения; Стерильность
Противогазы,respirators,Тип фильтра; Степень фильтрации; Класс защиты
Ремни поясные,generic,Назначение; Материал; Размер
Респираторы,respirators,Тип фильтра; Степень фильтрации; Класс защиты
Рукавицы для защиты от внешних воздействий,gloves,Размер; Материал; Тип защиты
"Рукавицы хозяйственные брезентовые, трикотажные",gloves,Размер; Материал; Тип защиты
Салфетки,textile,Размер; Материал; Плотность ткани
Самоспасатели пожарные изолирующие с химически связанным кислородом,generic,Назначение; Материал; Размер
Сапоги резиновые формовые,shoes,Размер обуви; Пол; Сезонность обуви
Свитеры для взрослых,clothes,Размер; Пол; Цвет
Снаряжение специальное для спасательных служб и служб гражданской обороны,generic,Назначение; Материал; Размер
Сорочки верхние мужские,clothes,Размер; Пол; Цвет
Средства дезинсекционные,generic,Назначение; Материал; Размер
Средства для индивидуальной защиты кожи,cosmetics,Тип средства; Назначение; Объем
"Средства защиты ног, кроме обуви специальной",generic,Назначение; Материал; Размер
Средства защиты противошумные,hearing_ppe,Уровень шумоподавления; Тип средства защиты; Регулировка
Средства индивидуальной защиты для медицинского персонала прочие,generic,Назначение; Материал; Размер
Средства индивидуальной защиты от падения с высоты (страховочная привязь),spec_clothes,Назначение; Класс защиты; Температурный диапазон
Стропы,fall_ppe,Тип системы (привязь/строп/карабины); Длина стропа; Максимальная нагрузка
Сумки повседневные,bags,Назначение; Объем; Материал
Текстиль общего назначения,textile,Размер; Материал; Плотность ткани
Туфли на подошве и с верхом из резины или пластмассы повседневная,shoes,Размер обуви; Пол; Сезонность обуви
Уборы головные для взрослых,headwear,Размер; Пол; Сезон
Фартуки кухонные,generic,Назначение; Материал; Размер
Фартуки профессиональные,generic,Назначение; Материал; Размер
Фильтры для общебольничного оборудования,respirators,Тип фильтра; Степень фильтрации; Класс защиты
Футболки трикотажные для взрослых,clothes,Размер; Пол; Цвет
"Халат изолирующий, процедурный",clothes,Размер; Пол; Цвет
Халаты для взрослых,clothes,Размер; Пол; Цвет
Халаты производственные,clothes,Размер; Пол; Цвет
Части запасные и материалы расходные для инструментов спасательных служб и служб гражданской обороны,generic,Назначение; Материал; Размер
Части запасные и материалы расходные для средств пожаротушения,generic,Назначение; Материал; Размер
Шапки зимние для взрослых,headwear,Размер; Пол; Сезон
Шапочки медицинские,headwear,Размер; Пол; Сезон
Шины (покрышки) и камеры для кресел-колясок,tyres,Размерность шины; Ширина профиля; Высота профиля
Шины пневматические для автобусов,tyres,Размерность шины; Ширина профиля; Высота профиля
Шины пневматические для грузовых автомобилей,tyres,Размерность шины; Ширина профиля; Высота профиля
Шины пневматические для картов,tyres,Размерность шины; Ширина профиля; Высота профиля
Шины пневматические для легкового автомобиля,tyres,Размерность шины; Ширина профиля; Высота профиля
Шины пневматические для мотоциклов,tyres,Размерность шины; Ширина профиля; Высота профиля
Шины пневматические для сельскохозяйственных машин,tyres,Размерность шины; Ширина профиля; Высота профиля
"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",tyres,Размерность шины; Ширина профиля; Высота профиля
Шины сплошные и полупневматические,tyres,Размерность шины; Ширина профиля; Высота профиля
Шкафы сушильные промышленные,generic,Назначение; Материал; Размер
Шлемы защитные,generic,Назначение; Материал; Размер
Шорты для взрослых,generic,Назначение; Материал; Размер
Щитки лицевые защитные,eye_face_ppe,Тип защиты; Материал; Наличие покрытия от запотевания
Элементы специальной одежды и средств защиты,spec_clothes,Назначение; Класс защиты; Температурный диапазон
Юбки женские,clothes,Размер; Пол; Цвет
