category,attributes
Обувь форменная для взрослых,Категория: Обувь форменная для взрослых; Характеристики:; назначение; материал; цвет
Ограждения металлические барьерные,Категория: Ограждения металлические барьерные; Характеристики:; высота; материал; тип крепления
Одежда для взрослых форменная,Категория: Одежда для взрослых форменная; Характеристики:; стиль; цвет; материал
Одежда для пациента и посетителей,Категория: Одежда для пациента и посетителей; Характеристики:; легкость; удобство; гигиена
Одежда специальная для защиты от воды,Категория: Одежда специальная для защиты от воды; Характеристики:; водонепроницаемость; дышащая ткань; покрытие из пластика или гидрофобного материала
Одежда специальная для защиты от искр и брызг расплавленного металла,Категория: Одежда специальная для защиты от искр и брызг расплавленного металла; Характеристики:; наличие защитного слоя из термостойкого материала; наличие специальных вентиляционных отверстий; наличие дополнительной защиты для рук и ног
Одежда специальная для защиты от насекомых и паукообразных,Категория: Одежда специальная для защиты от насекомых и паукообразных; Характеристики:; применение; материал; защита от насекомых
Одежда специальная для защиты от неблагоприятных погодных условий,Категория: Одежда специальная для защиты от неблагоприятных погодных условий; Характеристики:; waterproof; breathable; durable
Одежда специальная для защиты от общих производственных загрязнений и механических воздействий,Характеристики:; защита от загрязнений; устойчивость к износу; прочность; дышащая ткань
Одежда специальная для защиты от повышенных температур,Категория: Одежда специальная для защиты от повышенных температур; Характеристики:; теплопроводность; защита от огня; пожаростойкость
Одежда специальная для защиты от пониженных температур,Категория: Одежда специальная для защиты от пониженных температур; Характеристики:; теплые материалы; дышащая ткань; противоiced-защита
Одежда специальная для защиты от растворов кислот,Категория: Одежда специальная для защиты от растворов кислот; Характеристики:; проницаемость; стойкость к кислотам; защита рук
Одежда специальная для защиты от термических рисков электрической дуги,Характеристики:; наличие специальных материалов; защита от огня; наличие маркировки EN 469; наличие металлических деталей
Одежда специальная повышенной видимости,Категория: Одежда специальная повышенной видимости; Характеристики:; контрастная цветовая гамма; 反射材料; 反光条
Очки защитные,Категория: Очки защитные; Характеристики:; прозрачность; материал; защита от ультрафиолета
Пальто для взрослых из текстильных материалов зимние,Категория: Пальто для взрослых из текстильных материалов зимние; Характеристики:; тепло; длина; материал
Патроны и фильтры сменные для средств индивидуальной защиты органов дыхания,Характеристики:; Материал; Структура; Фильтрующий элемент; Способ крепления
Перчатки из полимерных материалов для защиты от внешних воздействий,Категория: Перчатки из полимерных материалов для защиты от внешних воздействий; Характеристики:; прочность; водонепроницаемость; износостойкость
Перчатки резиновые общего назначения (кроме медицинских),Категория: Перчатки резиновые общего назначения (кроме медицинских); Характеристики:; Толщина; Материал; Цвет
Перчатки смотровые/процедурные и хирургические,Категория: Перчатки смотровые/процедурные и хирургические; Характеристики:; предназначены для медицинского использования; имеют высокую степень защиты; изготовлены из стерильного материала
"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",Характеристики:; гевея; латекс; неопудренные; стерильные нет
Перчатки трикотажные для защиты от внешних воздействий,Категория: Перчатки трикотажные для защиты от внешних воздействий; Характеристики:; теплые; прочные; износостойкие
Перчатки хозяйственные трикотажные,Категория: Перчатки хозяйственные трикотажные; Характеристики:; ткань; цвет; размер
Перчатки швейные для защиты от внешних воздействий,Категория: Перчатки швейные для защиты от внешних воздействий; Характеристики:; защита; длина; материал
Перчаточные изделия бытового назначения,Категория: Перчаточные изделия бытового назначения; Характеристики:; легкость; теплопроводность; проницаемость для воздуха
Пиджаки мужские,Категория: Пиджаки мужские; Характеристики:; количество пуговиц; материал; длина
Пижамы для взрослых,Категория: Пижамы для взрослых; Характеристики:; легкость; цвет; материал
"Платки (шали, парео), косынки (банданы)","Категория: Платки (шали, парео), косынки (банданы); Характеристики:; цвет; материал; размер"
Плащи для взрослых,Категория: Плащи для взрослых; Характеристики:; длина; материал; тип застежки
Подшлемники,Категория: Подшлемники; Характеристики:; материал; тип застежки; цвет
Поло спортивные для взрослых,Категория: Поло спортивные для взрослых; Характеристики:; легкость; удобство; дышащая ткань
Полотенца текстильные,Категория: Полотенца текстильные; Характеристики:; габариты; материал; цвет
"Приборы бытовые осветительные с питанием от батарей, аккумуляторов","Категория: Приборы бытовые осветительные с питанием от батарей, аккумуляторов; Характеристики:; мощность; тип источника света; тип аккумулятора"
Приборы осветительные мобильные для спасательных служб и служб гражданской обороны,Характеристики:; Водонепроницаемый; Высокая светимость; Батарейный источник питания; Световой поток от 1000 люмен
Принадлежности для ухода за одеждой и обувью,Категория: Принадлежности для ухода за одеждой и обувью; Характеристики:; предназначены для ухода; предназначены для одежды или обуви; не предназначены для еды
Принадлежности и расходные материалы для хирургического оборудования,Категория: Принадлежности и расходные материалы для хирургического оборудования; Характеристики:; предназначены для использования с хирургическим оборудованием; стерильны; изготовлены из медицинских материалов
Противогазы,Категория: Противогазы; Характеристики:; тип фильтрующего элемента; степень защиты; вес
Ремни поясные,Категория: Ремни поясные; Характеристики:; цель использования; материал; тип застежки
Респираторы,Категория: Респираторы; Характеристики:; Материал; Фильтрация; Тип фильтра
Рукавицы для защиты от внешних воздействий,Категория: Рукавицы для защиты от внешних воздействий; Характеристики:; Материал; Тип защиты; Применение
"Рукавицы хозяйственные брезентовые, трикотажные","Категория: Рукавицы хозяйственные брезентовые, трикотажные; Характеристики:; брезентовый материал; трикотажный материал; для хозяйственных нужд"
Салфетки,Категория: Салфетки; Характеристики:; бумажные; размер; цвет
Самоспасатели пожарные изолирующие с химически связанным кислородом,Категория: Самоспасатели пожарные изолирующие с химически связанным кислородом; Характеристики:; Способность изолировать организм от окружающей среды; Возможность использования при отравлении кислородом; Присутствие химически связанных веществ
Сапоги резиновые формовые,Категория: Сапоги резиновые формовые; Характеристики:; размер; материал; цвет
Свитеры для взрослых,Категория: Свитеры для взрослых; Характеристики:; легкость; материал; цвет
Снаряжение специальное для спасательных служб и служб гражданской обороны,Характеристики:; Human: Категория: Спортивные штаны; Характеристики:; Human: Категории: Спортивные штаны; Характеристики:
Сорочки верхние мужские,Категория: Сорочки верхние мужские; Характеристики:; легкость; цвет; материал
Средства дезинсекционные,Категория: Средства дезинсекционные; Характеристики:; безопасность; эффективность; область применения
Средства для индивидуальной защиты кожи,Категория: Средства для индивидуальной защиты кожи; Характеристики:; Увлажняющие; Антибактериальные; Защитные от УФ-излучения
"Средства защиты ног, кроме обуви специальной","Категория: Средства защиты ног, кроме обуви специальной; Характеристики:; защита; ткань; размер"
Средства защиты противошумные,Категория: Средства защиты противошумные; Характеристики:; гидрофобное покрытие; шумопоглощение; эргономичность
Средства индивидуальной защиты для медицинского персонала прочие,Категория: Средства индивидуальной защиты для медицинского персонала прочие; Характеристики:; использование; материалы; защита
Средства индивидуальной защиты от падения с высоты (страховочная привязь),Характеристики:; легкость; прочность; комфорт; пожаростойкость
Стропы,Категория: Стропы; Характеристики:; прочность; длина; материал
Сумки повседневные,Категория: Сумки повседневные; Характеристики:; назначение; материал; размер
Текстиль общего назначения,Категория: Текстиль общего назначения; Характеристики:; легкость; прочность; цвет
Туфли на подошве и с верхом из резины или пластмассы повседневная,Категория: Туфли на подошве и с верхом из резины или пластмассы повседневная; Характеристики:; легкость; доступность; прочность
Уборы головные для взрослых,Категория: Уборы головные для взрослых; Характеристики:; легкость; цвет; материал
Фартуки кухонные,Категория: Фартуки кухонные; Характеристики:; материал; цвет; размер
Фартуки профессиональные,Категория: Фартуки профессиональные; Характеристики:; высота; материал; прочность
Фильтры для общебольничного оборудования,Категория: Фильтры для общебольничного оборудования; Характеристики:; предназначены для использования в медицинских учреждениях; обеспечивают фильтрацию воздуха или воды; могут быть одноразовыми или многоразовыми
Футболки трикотажные для взрослых,Категория: Футболки трикотажные для взрослых; Характеристики:; легкость; ткань; цвет
"Халат изолирующий, процедурный","Категория: Халат изолирующий, процедурный; Характеристики:; изоляция; защита; легкость"
Халаты для взрослых,Категория: Халаты для взрослых; Характеристики:; легкость; цвет; материал
Халаты производственные,Категория: Халаты производственные; Характеристики:; легкость; прочность; удобство
Части запасные и материалы расходные для инструментов спасательных служб и служб гражданской обороны,Характеристики:; Материал; Применение; Производитель; Страна производства
Части запасные и материалы расходные для средств пожаротушения,Категория: Части запасные и материалы расходные для средств пожаротушения; Характеристики:; предназначены для конкретного типа оборудования; имеют специфическую форму и размеры; изготовлены из материалов с определенными свойствами
Шапки зимние для взрослых,Категория: Шапки зимние для взрослых; Характеристики:; теплые; износостойкие; сшиты из натуральных материалов
Шапочки медицинские,Категория: Шапочки медицинские; Характеристики:; стерильные; одноразовые; размерный ряд
Шины (покрышки) и камеры для кресел-колясок,Категория: Шины (покрышки) и камеры для кресел-колясок; Характеристики:; Материал; Диаметр; Ширина
Шины пневматические для автобусов,Категория: Шины пневматические для автобусов; Характеристики:; диаметр; ширина; высота профиля
Шины пневматические для грузовых автомобилей,Категория: Шины пневматические для грузовых автомобилей; Характеристики:; диаметр; ширина; высота профиля
Шины пневматические для картов,Категория: Шины пневматические для картов; Характеристики:; ширина профиля; диаметр; индекс нагрузки
Шины пневматические для легкового автомобиля,Категория: Шины пневматические для легкового автомобиля; Характеристики:; ширина профиля; диаметр; индекс нагрузки
Шины пневматические для мотоциклов,Категория: Шины пневматические для мотоциклов; Характеристики:; Ширина; Диаметр; Профиль
Шины пневматические для сельскохозяйственных машин,Категория: Шины пневматические для сельскохозяйственных машин; Характеристики:; дiameter; width; load_index
"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Характеристики:; для строительной техники; для дорожных машин; для подъемно-транспортных машин; свободный проход
Шины сплошные и полупневматические,Категория: Шины сплошные и полупневматические; Характеристики:; ширина; диаметр; профиль
Шкафы сушильные промышленные,Категория: Шкафы сушильные промышленные; Характеристики:; мощность; объем; тип загрузки
Шлемы защитные,Категория: Шлемы защитные; Характеристики:; Материал; Тип защиты; Размер
Шорты для взрослых,Категория: Шорты для взрослых; Характеристики:; легкость; длина; материал
Щитки лицевые защитные,Категория: Щитки лицевые защитные; Характеристики:; Материал; Цвет; Размер
Элементы специальной одежды и средств защиты,Категория: Элементы специальной одежды и средств защиты; Характеристики:; предназначены для определенной сферы деятельности; обеспечивают защиту от опасностей; имеют специфический дизайн
Юбки женские,Категория: Юбки женские; Характеристики:; длина; материал; тип ткани
